Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
4,Peja Stojaković\stojape01,26,SAC,1.0,281.0,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,.480,.433,.927,13.5,.198
5,Kobe Bryant\bryanko01,25,LAL,0.0,212.0,1230,0.172,65,37.6,24.0,5.5,5.1,1.7,0.4,.438,.327,.852,10.7,.210
6,Shaquille O'Neal\onealsh01,31,LAL,0.0,178.0,1230,0.145,67,36.8,21.5,11.5,2.9,0.5,2.5,.584,,.490,9.9,.192
7,Ben Wallace\wallabe01,29,DET,0.0,24.0,1230,0.020,81,37.7,9.5,12.4,1.7,1.8,3.0,.421,.125,.490,10.2,.160
8,Jason Kidd\kiddja01,30,NJN,0.0,17.0,1230,0.014,67,36.6,15.5,6.4,9.2,1.8,0.2,.384,.321,.827,7.2,.141
9,LeBron James\jamesle01,19,CLE,0.0,11.0,1230,0.009,79,39.5,20.9,5.5,5.9,1.6,0.7,.417,.290,.754,5.1,.078
10,Sam Cassell\cassesa01,34,MIN,0.0,4.0,1230,0.003,81,35.0,19.8,3.3,7.3,1.3,0.2,.488,.398,.873,12.1,.205
10,Baron Davis\davisba01,24,NOH,0.0,4.0,1230,0.003,67,40.1,22.9,4.3,7.5,2.4,0.4,.395,.321,.673,7.5,.133
10,Dirk Nowitzki\nowitdi01,25,DAL,0.0,4.0,1230,0.003,77,37.9,21.8,8.7,2.7,1.2,1.4,.462,.341,.877,11.5,.190
13,Andrei Kirilenko\kirilan01,22,UTA,0.0,2.0,1230,0.002,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192
14,Carmelo Anthony\anthoca01,19,DEN,0.0,1.0,1230,0.001,82,36.5,21.0,6.1,2.8,1.2,0.5,.426,.322,.777,6.1,.098
14,Yao Ming\mingya01,23,HOU,0.0,1.0,1230,0.001,82,32.8,17.5,9.0,1.5,0.3,1.9,.522,.000,.809,11.4,.202
14,Michael Redd\reddmi01,24,MIL,0.0,1.0,1230,0.001,82,36.8,21.7,5.0,2.3,1.0,0.1,.440,.350,.868,9.7,.154
1,Steve Nash\nashst01,30,PHO,65.0,1066.0,1270,0.839,75,34.3,15.5,3.3,11.5,1.0,0.1,.502,.431,.887,10.9,.203
2,Shaquille O'Neal\onealsh01,32,MIA,58.0,1032.0,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,.601,,.461,11.0,.211
3,Dirk Nowitzki\nowitdi01,26,DAL,0.0,349.0,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,.459,.399,.869,15.6,.248
4,Tim Duncan\duncati01,28,SAS,1.0,328.0,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,.496,.333,.670,11.2,.245
5,Allen Iverson\iversal01,29,PHI,2.0,240.0,1270,0.189,75,42.3,30.7,4.0,7.9,2.4,0.1,.424,.308,.835,9.0,.136
6,LeBron James\jamesle01,20,CLE,0.0,93.0,1270,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,.472,.351,.750,14.3,.203
7,Tracy McGrady\mcgratr01,25,HOU,0.0,44.0,1270,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,.431,.326,.774,12.0,.180
8,Dwyane Wade\wadedw01,23,MIA,0.0,43.0,1270,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,.478,.289,.762,11.0,.177
9,Amar'e Stoudemire\stoudam01,22,PHO,1.0,41.0,1270,0.032,80,36.1,26.0,8.9,1.6,1.0,1.6,.559,.188,.733,14.6,.243
9,Ray Allen\allenra02,29,SEA,0.0,41.0,1270,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,.428,.376,.883,10.7,.168
11,Kevin Garnett\garneke01,28,MIN,0.0,15.0,1270,0.012,82,38.1,22.2,13.5,5.7,1.5,1.4,.502,.240,.811,16.1,.248
12,Gilbert Arenas\arenagi01,23,WAS,0.0,4.0,1270,0.003,80,40.9,25.5,4.7,5.1,1.7,0.3,.431,.365,.814,11.5,.169
13,Vince Carter\cartevi01,28,TOT,0.0,3.0,1270,0.002,77,36.7,24.5,5.2,4.2,1.4,0.6,.452,.406,.798,9.4,.159
14,P.J. Brown\brownpj01,35,NOH,0.0,1.0,1270,0.001,82,34.4,10.8,9.0,2.2,0.9,0.6,.446,,.864,6.9,.118
14,Marcus Camby\cambyma01,30,DEN,0.0,1.0,1270,0.001,66,30.5,10.3,10.0,2.3,0.9,3.0,.465,.000,.723,5.8,.138
14,Shawn Marion\mariosh01,26,PHO,0.0,1.0,1270,0.001,81,38.8,19.4,11.3,1.9,2.0,1.5,.476,.334,.833,12.5,.191
1,Steve Nash\nashst01,31,PHO,57.0,924.0,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,.512,.439,.921,12.4,.212
2,LeBron James\jamesle01,21,CLE,16.0,688.0,1250,0.550,79,42.5,31.4,7.0,6.6,1.6,0.8,.480,.335,.738,16.3,.232
3,Dirk Nowitzki\nowitdi01,27,DAL,14.0,544.0,1250,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,.480,.406,.901,17.7,.275
4,Kobe Bryant\bryanko01,27,LAL,22.0,483.0,1250,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,.450,.347,.850,15.3,.224
5,Chauncey Billups\billuch01,29,DET,15.0,430.0,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,.418,.433,.894,15.5,.254
6,Dwyane Wade\wadedw01,24,MIA,0.0,87.0,1250,0.070,75,38.6,27.2,5.7,6.7,1.9,0.8,.495,.171,.783,14.4,.239
7,Elton Brand\brandel01,26,LAC,1.0,50.0,1250,0.040,79,39.2,24.7,10.0,2.6,1.0,2.5,.527,.333,.775,14.8,.229
8,Tim Duncan\duncati01,29,SAS,0.0,33.0,1250,0.026,80,34.8,18.6,11.0,3.2,0.9,2.0,.484,.400,.629,10.8,.187
9,Tony Parker\parketo01,23,SAS,0.0,9.0,1250,0.007,80,33.9,18.9,3.3,5.8,1.0,0.1,.548,.306,.707,9.6,.169
10,Allen Iverson\iversal01,30,PHI,0.0,1.0,1250,0.001,72,43.1,33.0,3.2,7.4,1.9,0.1,.447,.323,.814,10.6,.165
10,Shawn Marion\mariosh01,27,PHO,0.0,1.0,1250,0.001,81,40.3,21.8,11.8,1.8,2.0,1.7,.525,.331,.809,14.6,.214
1,Dirk Nowitzki\nowitdi01,28,DAL,83.0,1138.0,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,.502,.416,.904,16.3,.278
2,Steve Nash\nashst01,32,PHO,44.0,1013.0,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,.532,.455,.899,12.6,.225
3,Kobe Bryant\bryanko01,28,LAL,2.0,521.0,1290,0.404,77,40.8,31.6,5.7,5.4,1.4,0.5,.463,.344,.868,13.0,.199
4,Tim Duncan\duncati01,30,SAS,0.0,286.0,1290,0.222,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,.111,.637,13.0,.230
5,LeBron James\jamesle01,22,CLE,0.0,183.0,1290,0.142,78,40.9,27.3,6.7,6.0,1.6,0.7,.476,.319,.698,13.7,.206
6,Tracy McGrady\mcgratr01,27,HOU,0.0,110.0,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,.431,.331,.707,8.6,.163
7,Chris Bosh\boshch01,22,TOR,0.0,43.0,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,.496,.343,.785,9.6,.174
8,Gilbert Arenas\arenagi01,25,WAS,0.0,31.0,1290,0.024,74,39.8,28.4,4.6,6.0,1.9,0.2,.418,.351,.844,10.8,.177
9,Carlos Boozer\boozeca01,25,UTA,0.0,7.0,1290,0.005,74,34.6,20.9,11.7,3.0,0.9,0.3,.561,,.685,9.9,.185
9,Kevin Garnett\garneke01,30,MIN,0.0,7.0,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,.476,.214,.835,10.7,.171
11,Chauncey Billups\billuch01,30,DET,0.0,4.0,1290,0.003,70,36.2,17.0,3.4,7.2,1.2,0.2,.427,.345,.883,11.4,.216
12,Shaquille O'Neal\onealsh01,34,MIA,0.0,3.0,1290,0.002,40,28.4,17.3,7.4,2.0,0.2,1.4,.591,,.422,2.8,.119
12,Dwyane Wade\wadedw01,25,MIA,0.0,3.0,1290,0.002,51,37.9,27.4,4.7,7.5,2.1,1.2,.491,.266,.807,8.8,.219
14,Amar'e Stoudemire\stoudam01,24,PHO,0.0,2.0,1290,0.002,82,32.8,20.4,9.6,1.0,1.0,1.3,.575,.000,.781,11.2,.201
15,Carmelo Anthony\anthoca01,22,DEN,0.0,1.0,1290,0.001,65,38.2,28.9,6.0,3.8,1.2,0.4,.476,.268,.808,7.3,.140
15,Baron Davis\davisba01,27,GSW,0.0,1.0,1290,0.001,63,35.3,20.1,4.4,8.1,2.1,0.5,.439,.304,.745,6.4,.139
15,Tony Parker\parketo01,24,SAS,0.0,1.0,1290,0.001,77,32.5,18.6,3.2,5.5,1.1,0.1,.520,.395,.783,9.6,.185
1,Kobe Bryant\bryanko01,29,LAL,82.0,1100.0,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,.361,.840,13.8,.208
2,Chris Paul\paulch01,22,NOH,28.0,894.0,1260,0.710,80,37.6,21.1,4.0,11.6,2.7,0.1,.488,.369,.851,17.8,.284
3,Kevin Garnett\garneke01,31,BOS,15.0,670.0,1260,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265
4,LeBron James\jamesle01,23,CLE,1.0,438.0,1260,0.348,75,40.4,30.0,7.9,7.2,1.8,1.1,.484,.315,.712,15.2,.242
5,Dwight Howard\howardw01,22,ORL,0.0,60.0,1260,0.048,82,37.7,20.7,14.2,1.3,0.9,2.1,.599,.000,.590,12.9,.200
6,Amar'e Stoudemire\stoudam01,25,PHO,0.0,27.0,1260,0.021,79,33.9,25.2,9.1,1.5,0.8,2.1,.590,.161,.805,14.6,.262
7,Tim Duncan\duncati01,31,SAS,0.0,25.0,1260,0.020,78,34.0,19.3,11.3,2.8,0.7,1.9,.497,.000,.730,11.1,.201
8,Tracy McGrady\mcgratr01,28,HOU,0.0,19.0,1260,0.015,66,37.0,21.6,5.1,5.9,1.0,0.5,.419,.292,.684,5.8,.115
9,Steve Nash\nashst01,33,PHO,0.0,18.0,1260,0.014,81,34.3,16.9,3.5,11.1,0.7,0.1,.504,.470,.906,10.5,.181
10,Manu Ginóbili\ginobma01,30,SAS,0.0,9.0,1260,0.007,74,31.1,19.5,4.8,4.5,1.5,0.4,.460,.401,.860,11.1,.232
11,Dirk Nowitzki\nowitdi01,29,DAL,0.0,5.0,1260,0.004,77,36.0,23.6,8.6,3.5,0.7,0.9,.479,.359,.879,12.9,.223
12,Deron Williams\willide01,23,UTA,0.0,4.0,1260,0.003,82,37.3,18.8,3.0,10.5,1.1,0.3,.507,.395,.803,11.3,.177
13,Carmelo Anthony\anthoca01,23,DEN,0.0,3.0,1260,0.002,77,36.4,25.7,7.4,3.4,1.3,0.5,.492,.354,.786,8.2,.140
14,Carlos Boozer\boozeca01,26,UTA,0.0,1.0,1260,0.001,81,34.9,21.1,10.4,2.9,1.2,0.5,.547,.000,.738,10.2,.173
14,Antawn Jamison\jamisan01,31,WAS,0.0,1.0,1260,0.001,79,38.7,21.4,10.2,1.5,1.3,0.4,.436,.339,.760,9.2,.144
14,Paul Pierce\piercpa01,30,BOS,0.0,1.0,1260,0.001,80,35.9,19.6,5.1,4.5,1.3,0.5,.464,.392,.843,12.4,.207
14,Rasheed Wallace\wallara01,33,DET,0.0,1.0,1260,0.001,77,30.5,12.7,6.6,1.8,1.2,1.7,.432,.356,.767,7.6,.155
1,LeBron James\jamesle01,24,CLE,109.0,1172.0,1210,0.969,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,.344,.780,20.3,.318
2,Kobe Bryant\bryanko01,30,LAL,2.0,698.0,1210,0.577,82,36.1,26.8,5.2,4.9,1.5,0.5,.467,.351,.856,12.7,.206
3,Dwyane Wade\wadedw01,27,MIA,7.0,680.0,1210,0.562,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,.317,.765,14.7,.232
4,Dwight Howard\howardw01,23,ORL,1.0,328.0,1210,0.271,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234
5,Chris Paul\paulch01,23,NOH,2.0,192.0,1210,0.159,78,38.5,22.8,5.5,11.0,2.8,0.1,.503,.364,.868,18.3,.292
6,Chauncey Billups\billuch01,32,TOT,0.0,33.0,1210,0.027,79,35.3,17.7,3.0,6.4,1.2,0.2,.418,.408,.913,10.1,.174
7,Paul Pierce\piercpa01,31,BOS,0.0,21.0,1210,0.017,81,37.5,20.5,5.6,3.6,1.0,0.3,.457,.391,.830,10.3,.164
8,Tony Parker\parketo01,26,SAS,0.0,9.0,1210,0.007,72,34.1,22.0,3.1,6.9,0.9,0.1,.506,.292,.782,8.6,.168
9,Brandon Roy\roybr01,24,POR,0.0,7.0,1210,0.006,78,37.2,22.6,4.7,5.1,1.1,0.3,.480,.377,.824,13.5,.223
10,Dirk Nowitzki\nowitdi01,30,DAL,0.0,3.0,1210,0.002,81,37.7,25.9,8.4,2.4,0.8,0.8,.479,.359,.890,10.9,.171
11,Tim Duncan\duncati01,32,SAS,0.0,2.0,1210,0.002,75,33.7,19.3,10.7,3.5,0.5,1.7,.504,.000,.692,10.1,.191
12,Yao Ming\mingya01,28,HOU,0.0,1.0,1210,0.001,77,33.6,19.7,9.9,1.8,0.4,1.9,.548,1.000,.866,10.6,.196
1,LeBron James\jamesle01,25,CLE,116.0,1205.0,1230,0.980,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,.299
2,Kevin Durant\duranke01,21,OKC,4.0,609.0,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1.0,.476,.365,.900,16.1,.238
3,Kobe Bryant\bryanko01,31,LAL,0.0,599.0,1230,0.487,73,38.8,27.0,5.4,5.0,1.5,0.3,.456,.329,.811,9.4,.160
4,Dwight Howard\howardw01,24,ORL,3.0,478.0,1230,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223
5,Dwyane Wade\wadedw01,28,MIA,0.0,119.0,1230,0.097,77,36.3,26.6,4.8,6.5,1.8,1.1,.476,.300,.761,13.0,.224
6,Carmelo Anthony\anthoca01,25,DEN,0.0,65.0,1230,0.053,69,38.2,28.2,6.6,3.2,1.3,0.4,.458,.316,.830,7.9,.145
7,Dirk Nowitzki\nowitdi01,31,DAL,0.0,55.0,1230,0.045,81,37.5,25.0,7.7,2.7,0.9,1.0,.481,.421,.915,12.3,.194
8,Steve Nash\nashst01,35,PHO,0.0,49.0,1230,0.040,81,32.8,16.5,3.3,11.0,0.5,0.1,.507,.426,.938,9.9,.178
9,Deron Williams\willide01,25,UTA,0.0,7.0,1230,0.006,76,36.9,18.7,4.0,10.5,1.3,0.2,.469,.371,.801,10.3,.177
10,Amar'e Stoudemire\stoudam01,27,PHO,0.0,5.0,1230,0.004,82,34.6,23.1,8.9,1.0,0.6,1.0,.557,.167,.771,10.7,.181
11,Manu Ginóbili\ginobma01,32,SAS,0.0,3.0,1230,0.002,75,28.7,16.5,3.8,4.9,1.4,0.3,.441,.377,.870,9.7,.216
12,Chauncey Billups\billuch01,33,DEN,0.0,1.0,1230,0.001,73,34.1,19.5,3.1,5.6,1.1,0.1,.418,.386,.910,9.5,.182
12,Chris Bosh\boshch01,25,TOR,0.0,1.0,1230,0.001,70,36.1,24.0,10.8,2.4,0.6,1.0,.518,.364,.797,9.6,.182
12,Stephen Jackson\jacksst02,31,TOT,0.0,1.0,1230,0.001,81,38.6,20.6,5.0,3.7,1.6,0.5,.423,.328,.779,5.0,.077
12,Joe Johnson\johnsjo02,28,ATL,0.0,1.0,1230,0.001,76,38.0,21.3,4.6,4.9,1.1,0.1,.458,.369,.818,8.4,.140
1,Derrick Rose\rosede01,22,CHI,113.0,1182.0,1210,0.977,81,37.4,25.0,4.1,7.7,1.0,0.6,.445,.332,.858,13.1,.208
2,Dwight Howard\howardw01,25,ORL,3.0,643.0,1210,0.531,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235
3,LeBron James\jamesle01,26,MIA,4.0,522.0,1210,0.431,79,38.8,26.7,7.5,7.0,1.6,0.6,.510,.330,.759,15.6,.244
4,Kobe Bryant\bryanko01,32,LAL,1.0,428.0,1210,0.354,82,33.9,25.3,5.1,4.7,1.2,0.1,.451,.323,.828,10.3,.178
5,Kevin Durant\duranke01,22,OKC,0.0,190.0,1210,0.157,78,38.9,27.7,6.8,2.7,1.1,1.0,.462,.350,.880,12.0,.189
6,Dirk Nowitzki\nowitdi01,32,DAL,0.0,113.0,1210,0.093,73,34.3,23.0,7.0,2.6,0.5,0.6,.517,.393,.892,11.1,.213
7,Dwyane Wade\wadedw01,29,MIA,0.0,24.0,1210,0.020,76,37.1,25.5,6.4,4.6,1.5,1.1,.500,.306,.758,12.8,.218
8,Manu Ginóbili\ginobma01,33,SAS,0.0,20.0,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,.433,.349,.871,9.9,.195
9,Amar'e Stoudemire\stoudam01,28,NYK,0.0,9.0,1210,0.007,78,36.8,25.3,8.2,2.6,0.9,1.9,.502,.435,.792,8.0,.134
10,Blake Griffin\griffbl01,21,LAC,0.0,5.0,1210,0.004,82,38.0,22.5,12.1,3.8,0.8,0.5,.506,.292,.642,9.8,.152
10,Rajon Rondo\rondora01,24,BOS,0.0,5.0,1210,0.004,68,37.2,10.6,4.4,11.2,2.3,0.2,.475,.233,.568,6.6,.126
12,Tony Parker\parketo01,28,SAS,0.0,3.0,1210,0.002,78,32.4,17.5,3.1,6.6,1.2,0.0,.519,.357,.769,8.2,.156
13,Chris Paul\paulch01,25,NOH,0.0,2.0,1210,0.002,80,36.0,15.9,4.1,9.8,2.4,0.1,.463,.388,.878,13.9,.232
1,LeBron James\jamesle01,27,MIA,85.0,1074.0,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,.531,.362,.771,14.5,.298
2,Kevin Durant\duranke01,23,OKC,24.0,889.0,1210,0.735,66,38.6,28.0,8.0,3.5,1.3,1.2,.496,.387,.860,12.2,.230
3,Chris Paul\paulch01,26,LAC,6.0,385.0,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,.478,.371,.861,12.7,.278
4,Kobe Bryant\bryanko01,33,LAL,2.0,352.0,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,.430,.303,.845,6.2,.132
5,Tony Parker\parketo01,29,SAS,4.0,331.0,1210,0.274,60,32.1,18.3,2.9,7.7,1.0,0.1,.480,.230,.799,7.1,.177
6,Kevin Love\loveke01,23,MIN,0.0,58.0,1210,0.048,55,39.0,26.0,13.3,2.0,0.9,0.5,.448,.372,.824,10.0,.223
7,Dwight Howard\howardw01,26,ORL,0.0,13.0,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,.573,.000,.491,7.7,.179
8,Rajon Rondo\rondora01,25,BOS,0.0,12.0,1210,0.010,53,36.9,11.9,4.8,11.7,1.8,0.1,.448,.238,.597,4.9,.121
9,Steve Nash\nashst01,37,PHO,0.0,7.0,1210,0.006,62,31.6,12.5,3.0,10.7,0.6,0.1,.532,.390,.894,5.9,.144
10,Dwyane Wade\wadedw01,30,MIA,0.0,6.0,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,.497,.268,.791,7.7,.227
11,Derrick Rose\rosede01,23,CHI,0.0,5.0,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,.435,.312,.812,6.0,.211
12T,Dirk Nowitzki\nowitdi01,33,DAL,0.0,4.0,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,.457,.368,.896,7.6,.175
12T,Russell Westbrook\westbru01,23,OKC,0.0,4.0,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,.457,.316,.823,7.9,.163
14,Tim Duncan\duncati01,35,SAS,0.0,3.0,1210,0.002,58,28.2,15.4,9.0,2.3,0.7,1.5,.492,.000,.695,5.9,.174
15,Joe Johnson\johnsjo02,30,ATL,0.0,1.0,1210,0.001,60,35.5,18.8,3.7,3.9,0.8,0.2,.454,.388,.849,6.4,.145
1,LeBron James\jamesle01,28,MIA,120.0,1207.0,1210,0.998,76,37.9,26.8,8.0,7.3,1.7,0.9,.565,.406,.753,19.3,.322
2,Kevin Durant\duranke01,24,OKC,0.0,765.0,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,.510,.416,.905,18.9,.291
3,Carmelo Anthony\anthoca01,28,NYK,1.0,475.0,1210,0.393,67,37.0,28.7,6.9,2.6,0.8,0.5,.449,.379,.830,9.5,.184
4,Chris Paul\paulch01,27,LAC,0.0,289.0,1210,0.239,70,33.4,16.9,3.7,9.7,2.4,0.1,.481,.328,.885,13.9,.287
5,Kobe Bryant\bryanko01,34,LAL,0.0,184.0,1210,0.152,78,38.6,27.3,5.6,6.0,1.4,0.3,.463,.324,.839,10.9,.174
6,Tony Parker\parketo01,30,SAS,0.0,86.0,1210,0.071,66,32.9,20.3,3.0,7.6,0.8,0.1,.522,.353,.845,9.3,.206
7,Tim Duncan\duncati01,36,SAS,0.0,65.0,1210,0.054,69,30.1,17.8,9.9,2.7,0.7,2.7,.502,.286,.817,8.3,.191
8,James Harden\hardeja01,23,HOU,0.0,33.0,1210,0.027,78,38.3,25.9,4.9,5.8,1.8,0.5,.438,.368,.851,12.8,.206
9,Russell Westbrook\westbru01,24,OKC,0.0,9.0,1210,0.007,82,34.9,23.2,5.2,7.4,1.8,0.3,.438,.323,.800,11.6,.195
10,Dwyane Wade\wadedw01,31,MIA,0.0,5.0,1210,0.004,69,34.7,21.2,5.0,5.1,1.9,0.8,.521,.258,.725,9.6,.192
11,Stephen Curry\curryst01,24,GSW,0.0,3.0,1210,0.002,78,38.2,22.9,4.0,6.9,1.6,0.2,.451,.453,.900,11.2,.180
12,Kevin Garnett\garneke01,36,BOS,0.0,1.0,1210,0.001,68,29.7,14.8,7.8,2.3,1.1,0.9,.496,.125,.786,5.6,.133
12,Marc Gasol\gasolma01,28,MEM,0.0,1.0,1210,0.001,80,35.0,14.1,7.8,4.0,1.0,1.7,.494,.071,.848,11.5,.197
12,Ty Lawson\lawsoty01,25,DEN,0.0,1.0,1210,0.001,73,34.4,16.7,2.7,6.9,1.5,0.1,.461,.366,.756,7.4,.141
12,David Lee\leeda02,29,GSW,0.0,1.0,1210,0.001,79,36.8,18.5,11.2,3.5,0.8,0.3,.519,.000,.797,9.1,.150
12,Joakim Noah\noahjo01,27,CHI,0.0,1.0,1210,0.001,66,36.8,11.9,11.1,4.0,1.2,2.1,.481,.000,.751,7.3,.145
1,Kevin Durant\duranke01,25,OKC,119.0,1232.0,1250,0.986,81,38.5,32.0,7.4,5.5,1.3,0.7,.503,.391,.873,19.2,.295
2,LeBron James\jamesle01,29,MIA,6.0,891.0,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,.567,.379,.750,15.9,.264
3,Blake Griffin\griffbl01,24,LAC,0.0,434.0,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,.528,.273,.715,12.2,.205
4,Joakim Noah\noahjo01,28,CHI,0.0,322.0,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190
5,James Harden\hardeja01,24,HOU,0.0,85.0,1250,0.068,73,38.0,25.4,4.7,6.1,1.6,0.4,.456,.366,.866,12.8,.221
6,Stephen Curry\curryst01,25,GSW,0.0,66.0,1250,0.053,78,36.5,24.0,4.3,8.5,1.6,0.2,.471,.424,.885,13.4,.225
7,Chris Paul\paulch01,28,LAC,0.0,45.0,1250,0.036,62,35.0,19.1,4.3,10.7,2.5,0.1,.467,.368,.855,12.2,.270
8,Al Jefferson\jeffeal01,29,CHA,0.0,34.0,1250,0.027,73,35.0,21.8,10.8,2.1,0.9,1.1,.509,.200,.690,7.8,.146
9,Paul George\georgpa01,23,IND,0.0,33.0,1250,0.026,80,36.2,21.7,6.8,3.5,1.9,0.3,.424,.364,.864,10.8,.178
10,LaMarcus Aldridge\aldrila01,28,POR,0.0,26.0,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1.0,.458,.200,.822,7.5,.144
11,Kevin Love\loveke01,25,MIN,0.0,25.0,1250,0.020,77,36.3,26.1,12.5,4.4,0.8,0.5,.457,.376,.821,14.3,.245
12,Tim Duncan\duncati01,37,SAS,0.0,21.0,1250,0.017,74,29.2,15.1,9.7,3.0,0.6,1.9,.490,.000,.731,7.4,.164
12,Tony Parker\parketo01,31,SAS,0.0,21.0,1250,0.017,68,29.4,16.7,2.3,5.7,0.5,0.1,.499,.373,.811,5.9,.141
14,Dirk Nowitzki\nowitdi01,35,DAL,0.0,7.0,1250,0.006,80,32.9,21.7,6.2,2.7,0.9,0.6,.497,.398,.899,10.9,.199
15,Carmelo Anthony\anthoca01,29,NYK,0.0,4.0,1250,0.003,77,38.7,27.4,8.1,3.1,1.2,0.7,.452,.402,.848,10.7,.172
16,Goran Dragić\dragigo01,27,PHO,0.0,3.0,1250,0.002,76,35.1,20.3,3.2,5.9,1.4,0.3,.505,.408,.760,10.3,.186
17,Mike Conley\conlemi01,26,MEM,0.0,1.0,1250,0.001,73,33.5,17.2,2.9,6.0,1.5,0.2,.450,.361,.815,8.2,.161
1,Stephen Curry\curryst01,26,GSW,100.0,1198.0,1300,0.922,80,32.7,23.8,4.3,7.7,2.0,0.2,.487,.443,.914,15.7,.288
2,James Harden\hardeja01,25,HOU,25.0,936.0,1300,0.720,81,36.8,27.4,5.7,7.0,1.9,0.7,.440,.375,.868,16.4,.265
3,LeBron James\jamesle01,30,CLE,5.0,552.0,1300,0.425,69,36.1,25.3,6.0,7.4,1.6,0.7,.488,.354,.710,10.4,.199
4,Russell Westbrook\westbru01,26,OKC,0.0,352.0,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,.426,.299,.835,10.6,.222
5,Anthony Davis\davisan02,21,NOP,0.0,203.0,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,.083,.805,14.0,.274
6,Chris Paul\paulch01,29,LAC,0.0,124.0,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,.485,.398,.900,16.1,.270
7,LaMarcus Aldridge\aldrila01,29,POR,0.0,6.0,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1.0,.466,.352,.845,8.6,.165
8,Marc Gasol\gasolma01,30,MEM,0.0,3.0,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,.176,.795,10.2,.182
8,Blake Griffin\griffbl01,25,LAC,0.0,3.0,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,.502,.400,.728,9.0,.183
10,Tim Duncan\duncati01,38,SAS,0.0,1.0,1300,0.001,77,28.9,13.9,9.1,3.0,0.8,2.0,.512,.286,.740,9.6,.207
10,Kawhi Leonard\leonaka01,23,SAS,0.0,1.0,1300,0.001,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204
10,Klay Thompson\thompkl01,24,GSW,0.0,1.0,1300,0.001,77,31.9,21.7,3.2,2.9,1.1,0.8,.463,.439,.879,8.8,.172
1,Stephen Curry\curryst01,27,GSW,131.0,1310.0,1310,1.000,79,34.2,30.1,5.4,6.7,2.1,0.2,.504,.454,.908,17.9,.318
2,Kawhi Leonard\leonaka01,24,SAS,0.0,634.0,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277
